text,class,feature,appName
"One can choose from documentaries, TV shows both old and current, movies and biographies ",Neutral,movies,Netflix
"One can choose from documentaries, TV shows both old and current, movies and biographies ",Neutral,biographies,Netflix
My grandchild loves to watch her shows and I can catch my favorites without commercial interruption ,Positive,watch her shows,Netflix
My grandchild loves to watch her shows and I can catch my favorites without commercial interruption ,Positive,catch my favorites,Netflix
"I have a Netflix subscription for home use and found that when I want to catch up on an old television series or movie, it was great to have it on my Kindle and take it to the gym and watch it while Im on the treadmill ",Positive,Netflix subscription,Netflix
"I have a Netflix subscription for home use and found that when I want to catch up on an old television series or movie, it was great to have it on my Kindle and take it to the gym and watch it while Im on the treadmill ",Positive,catch up on an old television series,Netflix
"I have a Netflix subscription for home use and found that when I want to catch up on an old television series or movie, it was great to have it on my Kindle and take it to the gym and watch it while Im on the treadmill ",Neutral,watch,Netflix
If I pause a movie and come back to it later then it only plays sound and a black screen ,Neutral,pause a movie,Netflix
If I pause a movie and come back to it later then it only plays sound and a black screen ,Neutral,plays sound,Netflix
If I pause a movie and come back to it later then it only plays sound and a black screen ,Neutral,black screen,Netflix
To fix the problem I have to uninstall the app   turn the kindle off   turn back on   then reinstall the app ,Neutral,uninstall,Netflix
To fix the problem I have to uninstall the app   turn the kindle off   turn back on   then reinstall the app ,Neutral,reinstall,Netflix
"If one of my children arent watching something on their Kindle Fires with Netflix, then my husband or I are ",Neutral,watching,Netflix
This app allows you to quickly and easily access Netflix content that is available for streaming ,Positive,access Netflix content,Netflix
This app allows you to quickly and easily access Netflix content that is available for streaming ,Neutral,streaming,Netflix
"My kids have all but given up on watching television, as they can watch what they want when they want on Netflix ",Neutral,watch what they want,Netflix
Thanks to this app I can watch Netflix on my Pandigital tablet ,Neutral,watch Netflix,Netflix
I watched my first program on Netflix yesterday ,Neutral,watched my first program,Netflix
It was amazing and I was able to contol it just like on television ,Neutral,contol it just like on television,Netflix
i can not wait to watch my next program ,Neutral,watch my next program,Netflix
Great having all the movies you like at the top of your fingers ,Positive,having all the movies you like,Netflix
One price and watch all you want ,Neutral,watch,Netflix
this is by far easier than Amazon PRime  interms of streaming options ie we can stream at  3 gb/hour versus HD ONLY at 1-2 3 GB ,Positive,stream,Netflix
I like Netflix but I wish they would submit less violent movies ,Neutral, violent movies,Netflix
I enjoy comedy and mystery but not as much violence ,Positive,comedy,Netflix
I enjoy comedy and mystery but not as much violence ,Positive,mystery,Netflix
I enjoy comedy and mystery but not as much violence ,Neutral,violence,Netflix
We have used Netflix for a couple of years but just recently started watching it on our portable devices since it can be watched on anything with an internet connection Internet speeds do not have to be as fast with Netflix as they do with Amazon Prime ,Neutral,watching it on our portable devices,Netflix
We have used Netflix for a couple of years but just recently started watching it on our portable devices since it can be watched on anything with an internet connection Internet speeds do not have to be as fast with Netflix as they do with Amazon Prime ,Neutral,watched on anything with an internet connection,Netflix
The app worked generally as expected the first launch But today it required that I log in again (why I was logged out is unknown) then crashes after a login timeout ,Neutral,log in,Netflix
The app worked generally as expected the first launch But today it required that I log in again (why I was logged out is unknown) then crashes after a login timeout ,Neutral,logged out,Netflix
The app worked generally as expected the first launch But today it required that I log in again (why I was logged out is unknown) then crashes after a login timeout ,Neutral,login,Netflix
Has new movie best seletion of TV shows update everyday  and the best thing of is I can see it any where,Positive,movie best seletion of TV shows,Netflix
Has new movie best seletion of TV shows update everyday  and the best thing of is I can see it any where,Positive,update,Netflix
There are so many choices for everyones liking and the the fact you can watch as many as you want for a very small monthly fee is awesome and you can watch from just about any device where you have internet ,Positive,watch as many as you want,Netflix
There are so many choices for everyones liking and the the fact you can watch as many as you want for a very small monthly fee is awesome and you can watch from just about any device where you have internet ,Neutral,watch from just about any device,Netflix
Anyone who loves watching movies or tv series should subscribe ,Neutral,watching movies,Netflix
Same old movies ,Neutral,old movies,Netflix
They dont add any NEW movies ,Neutral,movies,Netflix
I would like to see more new movies ,Neutral,see more new movies,Netflix
It continues to give me constant error messages then restarts my browser ,Neutral,give me constant error messages,Netflix
Good catalogue and good service ,Positive,catalogue,Netflix
I can pick and choose what I want to watch and when I want to watch it ,Neutral,choose what I want to watch,Netflix
Netflix has a huge variety of programs to choose from right at your finger tips and at an amazing cost ,Positive,programs to choose,Netflix
Its nice to be able to start watching on my Kindle something I stopped watching on my TV ,Positive,start watching,Netflix
sound is in sync ,Neutral,sound is in sync,Netflix
they updated it so now the grey tab bar is gone ,Neutral,updated,Netflix
they updated it so now the grey tab bar is gone ,Neutral,grey tab bar,Netflix
video quality is great it just takes a second ,Positive,video,Netflix
The videos load very fast and look good!,Positive,videos load,Netflix
The sound is great depending on the device you have ,Positive,sound,Netflix
The only downside to this app is you do need to acess the internet to watch the videos ,Negative,watch the videos,Netflix
"Lots of things to choose from for her to watch,",Neutral,watch,Netflix
"When i first reviewed Netflix on the kindle fire i gave it only 3 stars because of serious audio issues with the player but they have since patched it and it works perfectly now, they even got rid of the black bar at the bottom of the screen   so good job Netflix!",Neutral,audio,Netflix
"When i first reviewed Netflix on the kindle fire i gave it only 3 stars because of serious audio issues with the player but they have since patched it and it works perfectly now, they even got rid of the black bar at the bottom of the screen   so good job Netflix!",Neutral,player,Netflix
"When i first reviewed Netflix on the kindle fire i gave it only 3 stars because of serious audio issues with the player but they have since patched it and it works perfectly now, they even got rid of the black bar at the bottom of the screen   so good job Netflix!",Neutral,black bar,Netflix
have had Netflix for a long time also get so of my movie from them great deal great movie A,Neutral,movie,Netflix
Scrolling through movies is a chore as sometimes the row wont scroll when you touch it and once in awhile it says cannot retrieve info and will make me log back in ,Neutral,row wont scroll,Netflix
Scrolling through movies is a chore as sometimes the row wont scroll when you touch it and once in awhile it says cannot retrieve info and will make me log back in ,Neutral,says cannot retrieve info,Netflix
Scrolling through movies is a chore as sometimes the row wont scroll when you touch it and once in awhile it says cannot retrieve info and will make me log back in ,Negative,Scrolling through movies,Netflix
Knock on wood it always accepts my password and I am back up and running ,Neutral,accepts my password,Netflix
I love this app and recommend it if you have a netflix account and a device ,Neutral,netflix account,Netflix
"Sometimes the choice of movies leave a great deal to be desired but now that I have found the Korean movies, especially the TV series by Studio 15, we have some very fine story lines and acting ",Neutral,movies,Netflix
"Sometimes the choice of movies leave a great deal to be desired but now that I have found the Korean movies, especially the TV series by Studio 15, we have some very fine story lines and acting ",Neutral,Korean movies,Netflix
"Sometimes the choice of movies leave a great deal to be desired but now that I have found the Korean movies, especially the TV series by Studio 15, we have some very fine story lines and acting ",Neutral,TV series,Netflix
"Sometimes the choice of movies leave a great deal to be desired but now that I have found the Korean movies, especially the TV series by Studio 15, we have some very fine story lines and acting ",Neutral,choice of movies,Netflix
They are movies you can watch with the family and not be embarassed ,Neutral,movies you can watch,Netflix
Chong Parks music is delightful ,Positive,Chong Parks music,Netflix
I would love it if they had a little more updated movies,Neutral,updated movies,Netflix
I also recommend it to those who enjoy a good movie / program with a message for the good ,Positive,movie,Netflix
I also recommend it to those who enjoy a good movie / program with a message for the good ,Positive,program,Netflix
For the price you cant beat it you can watch just about anything although some things I looked for were not available ,Neutral,watch just about anything,Netflix
"There are no commercials and that is a plus over Hulu, but it doesnt have enough recognizable movies ",Neutral,have enough recognizable movies,Netflix
"I can watch TV shows that missed, but not all of them ",Neutral,watch TV shows,Netflix
"It does stream movies smoother if you have a slower modem, unlike Hulu ",Neutral,stream movies,Netflix
I bought a cheap set of earphones with a 3 cord and now I can walk around anywhere my WiFi reaches while watching what I choose This added a whole new dimension to my Kindle Fire ,Neutral,watching what I choose,Netflix
its great app its very useful you can watch your favorite movies and TV shows at your disposal its something the whole family can use,Positive,watch your favorite movies,Netflix
"I used to have both, but I found that both services have about the same movies ",Neutral,movies,Netflix
Very little loading time and great picture,Positive,loading time,Netflix
Very little loading time and great picture,Positive,picture,Netflix
The only issue I am having is the audio is a little off from the video ,Neutral,video,Netflix
The only issue I am having is the audio is a little off from the video ,Negative,audio,Netflix
"Picture quality is great, and I am not having the issue with the border staying on the screen ",Positive,Picture,Netflix
"Almost all of the movie and t v  show options for the adults like me with an array of action, suspense, and at rare occasions the horror movie fix option is always there, too ",Neutral,t v  show options,Netflix
"Almost all of the movie and t v  show options for the adults like me with an array of action, suspense, and at rare occasions the horror movie fix option is always there, too ",Neutral,horror movie fix option,Netflix
What the best part is the customer ratings that a video store never was able to provide as well as the Netflix option to rate movies and then have recommended films and shows for the future entertainment ,Positive,customer ratings,Netflix
What the best part is the customer ratings that a video store never was able to provide as well as the Netflix option to rate movies and then have recommended films and shows for the future entertainment ,Positive,video store,Netflix
What the best part is the customer ratings that a video store never was able to provide as well as the Netflix option to rate movies and then have recommended films and shows for the future entertainment ,Positive,rate movies,Netflix
What the best part is the customer ratings that a video store never was able to provide as well as the Netflix option to rate movies and then have recommended films and shows for the future entertainment ,Positive,recommended films,Netflix
Also there are plenty of childrens movies and programs except with my disappointment no Star Wars materials ,Neutral,childrens movies,Netflix
Also there are plenty of childrens movies and programs except with my disappointment no Star Wars materials ,Neutral,programs,Netflix
"Overall, the best area now that will give the best deals for t v  and movies ",Positive,t v ,Netflix
"Overall, the best area now that will give the best deals for t v  and movies ",Positive,movies,Netflix
"Great selection, and easy to stream to ALL my machines",Positive,stream to ALL my machines,Netflix
Has alot of great shows!,Positive,shows,Netflix
"full seasonsgood genres, I would give 5 stars exceptthey are a little behind on getting some of the latest seasons",Neutral,full seasonsgood genres,Netflix
"full seasonsgood genres, I would give 5 stars exceptthey are a little behind on getting some of the latest seasons",Neutral,getting some of the latest seasons,Netflix
Now I can watch my favorite shows on the run as long as I have WiFi minor issues with picture at times might be operator error,Neutral,watch my favorite shows,Netflix
A free trial means that I try it for free and if I like it I THEN provide my credit card ,Neutral,free trial,Netflix
"I only wanted this App on my phone to check my account, etc ",Neutral,check my account,Netflix
"I did not want a free trial, as I already have an account and do no streaming, just DVDs ",Neutral,free trial,Netflix
"I did not want a free trial, as I already have an account and do no streaming, just DVDs ",Neutral,have an account,Netflix
"I did not want a free trial, as I already have an account and do no streaming, just DVDs ",Neutral,streaming,Netflix
i always go on Netflix and watch tv shows and movies sometimes it buffers but i still LOVE IT SO MUCH&#60;3,Positive,watch tv shows,Netflix
Allows to add and delete streaming movies and shows to list ,Neutral,delete streaming movies,Netflix
Allows to add and delete streaming movies and shows to list ,Neutral,shows to list,Netflix
Works great if you have a netflix account ,Neutral,netflix account,Netflix
Quality is what it should be & you need it(the app)to play shows from netflix ,Neutral,play shows,Netflix
I am unfamiliar with how to use this app and what it offers and instructions on how ti activeate it ,Neutral,activeate,Netflix
"Okay so I was wantin to get Netflix on my kindle fire cause I have it on my desktop,laptop, Wii, and playstation 3 but half of the review say the video lags and sound quilty is horrible and all that but Im gonna get it and try it cause ive read if you have an updated kindle fire and charter Internet it works just fine which I have both so I will give this another review after having it a while ",Neutral,video,Netflix
"Okay so I was wantin to get Netflix on my kindle fire cause I have it on my desktop,laptop, Wii, and playstation 3 but half of the review say the video lags and sound quilty is horrible and all that but Im gonna get it and try it cause ive read if you have an updated kindle fire and charter Internet it works just fine which I have both so I will give this another review after having it a while ",Neutral,sound,Netflix
Very convenient can use it on my kindleEnjoy the tv series options  ,Positive,tv series options,Netflix
I can watch what I want to while others are watching what they want,Neutral,watch what I want,Netflix
"Every once in a while, I have issues getting this to load on my kindle; shutting it down and restarting does not fix the problem ",Neutral,load,Netflix
"Every once in a while, I have issues getting this to load on my kindle; shutting it down and restarting does not fix the problem ",Neutral,shutting it down,Netflix
"Every once in a while, I have issues getting this to load on my kindle; shutting it down and restarting does not fix the problem ",Neutral,restarting,Netflix
I love that I can stream movies and certain tv shows when I feel like watching them ,Positive,stream movies,Netflix
I love that I can stream movies and certain tv shows when I feel like watching them ,Neutral,watching,Netflix
Or catching up on tv shows that I havent been able to watch ,Neutral,catching up on tv shows,Netflix
Or catching up on tv shows that I havent been able to watch ,Neutral,watch,Netflix
Sometimes the picture its all the clear but I really like Netflix app!!,Neutral,picture,Netflix
Anytime i want to catch a breather from my work on campus I pull out my kindle and watch a few tv shows or a movie ,Neutral,watch a few tv shows,Netflix
I think this app is cool because u get to pick a favorote T V show ,Positive,get to pick a favorote T V show,Netflix
and watch it ,Neutral,watch,Netflix
Definitely happy Im able to watch Netflix on my Kindle Fire!,Positive,watch Netflix,Netflix
Netflix is wat i recommend to all the movie lovers out there  i watch movies on Netflix every day with the best picture quality ever,Positive,watch movies,Netflix
Netflix is wat i recommend to all the movie lovers out there  i watch movies on Netflix every day with the best picture quality ever,Positive,picture,Netflix
I can choose my evening movies while away from my TV ,Neutral,choose my evening movies,Netflix
"If you have a Netflix account, youve gotta get this app, It is free, and you can watch whatever Netflix offers wherever you happen to be ",Neutral,watch whatever Netflix offers,Netflix
Netflix just updated on my Kindle Fire ,Neutral,updated,Netflix
They embedded a volume bar into the app which is a nice upgrade ,Positive,volume bar,Netflix
They embedded a volume bar into the app which is a nice upgrade ,Positive,upgrade,Netflix
However the video and audio are still choppy ,Negative,video,Netflix
However the video and audio are still choppy ,Negative,audio,Netflix
i would have fixed that before making embedded volume a priority ,Neutral,embedded volume,Netflix
"Newer releases sooner, to long between blu-ray release and streaming ",Neutral,streaming,Netflix
Should be able to stream and not wait two to three years ,Neutral,stream,Netflix
"I spend a lot of time watching movies or old tv shows, so any type of movie/tv app rocks for me ",Neutral,watching movies,Netflix
"Excellent, very easy to find what you want and I think the &#34;films like       &#34; that shows movies or programmes similar to the ones youve watched is a great idea ",Positive,find what you want,Netflix
"Excellent, very easy to find what you want and I think the &#34;films like       &#34; that shows movies or programmes similar to the ones youve watched is a great idea ",Positive,shows movies,Netflix
"Excellent, very easy to find what you want and I think the &#34;films like       &#34; that shows movies or programmes similar to the ones youve watched is a great idea ",Positive,programmes,Netflix
"Excellent, very easy to find what you want and I think the &#34;films like       &#34; that shows movies or programmes similar to the ones youve watched is a great idea ",Positive,films,Netflix
By this time I would have thought Netfix would have created a more robust app for viewing their content ,Neutral,viewing their content,Netflix
What I dont like is that I cant update my DVD queue from the mobile app ,Negative,update my DVD queue,Netflix
"I llike the new profile management, but I it needs to be expanded to provide better parental controls ",Positive,profile management,Netflix
"I llike the new profile management, but I it needs to be expanded to provide better parental controls ",Neutral,parental controls,Netflix
This app fulfills every promise it makes and has a convenient user interface that is similar to the actual Netflix website ,Positive,user interface,Netflix
I can count on one hand how many times it has had to buffer even though many other apps on the Kindle move slowly ,Neutral,buffer,Netflix
They do not put enough new movies as often as I would like ,Neutral,new movies,Netflix
To many older movies all the time ,Negative,older movies,Netflix
I do love the price and the TV show selections ,Positive,TV show selections,Netflix
"Yeah again, only was able to watch on computer so now it awesome to catch my shows elsewhere as long as i can connect",Positive,catch my shows,Netflix
User friendly app that loads quickly and well and is easy to navigate and find what you need ,Positive,loads,Netflix
User friendly app that loads quickly and well and is easy to navigate and find what you need ,Positive,navigate,Netflix
User friendly app that loads quickly and well and is easy to navigate and find what you need ,Positive,find what you need,Netflix
Plus with Metro PCS I have an unlimited 4G data plan so I dont have to worry about being ripped off for streaming ,Neutral,streaming,Netflix
It runs ok but can freeze or load very slow at times ,Negative,load,Netflix
The interface is intuitive and just adds another mobile device to continue watching my favorite shows ,Positive,interface,Netflix
The interface is intuitive and just adds another mobile device to continue watching my favorite shows ,Positive,watching my favorite shows,Netflix
"Video stream was very good and at my home DSL wireless,as good as a Dvd player the bottom tool bar get minimized and it is not annoying at all Overall a good app for netflix movies ",Positive,Video stream,Netflix
"Video stream was very good and at my home DSL wireless,as good as a Dvd player the bottom tool bar get minimized and it is not annoying at all Overall a good app for netflix movies ",Neutral,netflix movies,Netflix
"Video stream was very good and at my home DSL wireless,as good as a Dvd player the bottom tool bar get minimized and it is not annoying at all Overall a good app for netflix movies ",Neutral,bottom tool bar,Netflix
Good way to watch TV ,Positive,watch TV,Netflix
You can choose shows from the menu and netflix tries to predict what shows you will like based on previous ratings ,Neutral,choose shows from the menu,Netflix
You can choose shows from the menu and netflix tries to predict what shows you will like based on previous ratings ,Neutral,predict what shows you will like,Netflix
I probably havent ranked enough shows because Netflix has no clue what Id like to watch ,Neutral,ranked enough shows,Netflix
I probably havent ranked enough shows because Netflix has no clue what Id like to watch ,Neutral,watch,Netflix
Some shows arent available ,Neutral,shows arent available,Netflix
It is so slow that it barely will scroll the screen ,Negative,scroll the screen,Netflix
Watching a movie is blurry for a while and clears up most of the time ,Negative,Watching a movie,Netflix
sync issues with audio and severe video lag ,Negative,sync issues with audio,Netflix
sync issues with audio and severe video lag ,Negative,video,Netflix
I wonder if this is done on purpose to force consumers to pay for the premier service,Neutral,premier service,Netflix
We have a special needs son that can watch appropriate television anytime he wants to and the availability of it makes it a terrific reward system ,Neutral,watch appropriate television,Netflix
We also have a typical  child that enjoys a wide variety of television and movies ,Positive,television,Netflix
We also have a typical  child that enjoys a wide variety of television and movies ,Positive,movies,Netflix
Netflix has so many free choices for TV shows and movies ,Neutral,choices for TV shows,Netflix
"They keep track of what youve watched and, even after a lot of time, you can start your show where you left off ",Neutral,keep track of what youve watched,Netflix
"They keep track of what youve watched and, even after a lot of time, you can start your show where you left off ",Neutral,start your show where you left off,Netflix
So much easier to navigate than Amazon ,Positive,navigate,Netflix
"On Netflix, there is a list of what Ive watched recently plus I can just type it in a bar and it comes up if they have it ",Neutral,list of what Ive watched,Netflix
"On Netflix, there is a list of what Ive watched recently plus I can just type it in a bar and it comes up if they have it ",Neutral,type it in a bar,Netflix
"Recently, I have been bringing my Fire to work so I can watch some shows while on my lunch break ",Neutral,watch some shows,Netflix
"I sat down today to continue watching my show when I opened the Netflix app, or I should say that I tried to open the app, but a connection error popped up ",Neutral,watching my show,Netflix
"I sat down today to continue watching my show when I opened the Netflix app, or I should say that I tried to open the app, but a connection error popped up ",Neutral,opened,Netflix
"I sat down today to continue watching my show when I opened the Netflix app, or I should say that I tried to open the app, but a connection error popped up ",Neutral,open,Netflix
"I then checked other apps, they are working properly, so I decided to delete and reinstall the app ",Neutral,delete,Netflix
"I then checked other apps, they are working properly, so I decided to delete and reinstall the app ",Neutral,reinstall,Netflix
the reason i dont give it 5 stars is only because i want even more movies right after they are out of theaters,Neutral,movies,Netflix
"YES, I LIKE THAT I CAN WATCH MOST ANYTHING I WANT INSTANTLY, AND CAN GET DVDS QUICKLY IF THEY ARE NOT AVAILABLE FOR INSTANT WATCHING ",Positive,WATCH MOST ANYTHING I WANT,Netflix
"YES, I LIKE THAT I CAN WATCH MOST ANYTHING I WANT INSTANTLY, AND CAN GET DVDS QUICKLY IF THEY ARE NOT AVAILABLE FOR INSTANT WATCHING ",Positive,GET DVDS QUICKLY,Netflix
"YES, I LIKE THAT I CAN WATCH MOST ANYTHING I WANT INSTANTLY, AND CAN GET DVDS QUICKLY IF THEY ARE NOT AVAILABLE FOR INSTANT WATCHING ",Neutral,INSTANT WATCHING,Netflix
"AND EVEN OLD SHOWS THAT I LOVED YEARS AGO, LIKE QUINCY!",Positive,OLD SHOWS,Netflix
"THE ONLY REASON FOR NOT GIVING IT 5 STARS IS THAT I GOT HOOKED ON THE SHOW REVOLUTION, AND I HAVE WATCHED ALL THE EPISODES IN SEASON 1, BUT SEASON 2 IS NOT AVAILABLE YET!",Neutral,WATCHED ALL THE EPISODES,Netflix
"I LOVE THIS APP, dont believe those people who say it has terrible video quality,and ext ",Neutral,video,Netflix
"everytime I decide to watch a movie, I cant find it on Netflix ",Neutral,watch a movie,Netflix
"everytime I decide to watch a movie, I cant find it on Netflix ",Neutral,find it on Netflix,Netflix
I dont typically watch stuff that should be hard to find either ,Neutral,watch stuff,Netflix
I love Netflix streaming and it works fine everywhere else ,Positive,streaming,Netflix
And the other video apps work fine on the Fire ,Neutral,video,Netflix
But Netflix currently has an audio sync problem that makes watching anything extremely difficult ,Negative,audio sync,Netflix
But Netflix currently has an audio sync problem that makes watching anything extremely difficult ,Negative,watching,Netflix
The only fix Ive found is to watch subtitled films so you wont notice so much 01/09/12 - Update: Its fixed ,Neutral,watch subtitled films,Netflix
Works great and the selection of Netflix is still the best ,Positive,selection,Netflix
This was a smart purchase that has proven to be WONDERFUL for traveling!I did appreciate that I was permitted a free trial because I was leary of if it actually worked   or if the movies were oooooooold/boring or were of poor quality ,Positive,free trial,Netflix
This was a smart purchase that has proven to be WONDERFUL for traveling!I did appreciate that I was permitted a free trial because I was leary of if it actually worked   or if the movies were oooooooold/boring or were of poor quality ,Neutral,movies,Netflix
Its good but we receive unecessary notifications on the phone,Negative,receive unecessary notifications,Twitter
Though I wish there was a way to quickly scroll up to the top,Neutral,scroll up to the top,Twitter
There is no the top bar ,Neutral,top bar,Twitter
Can you stop making twitter freaking refresh everytime i go down the timeline and forcing me up to the top,Neutral,refresh everytime i go down the timeline,Twitter
I uninstall it and install it many times but i cant tweet or re-tweet,Neutral,uninstall,Twitter
I uninstall it and install it many times but i cant tweet or re-tweet,Neutral,install,Twitter
I uninstall it and install it many times but i cant tweet or re-tweet,Neutral,tweet,Twitter
I uninstall it and install it many times but i cant tweet or re-tweet,Neutral,re-tweet,Twitter
I still cant watch videos even though I updated my twitter,Neutral,watch videos,Twitter
I still cant watch videos even though I updated my twitter,Neutral,updated,Twitter
It will not let me install it base on an installation error ,Neutral,install,Twitter
Love twitter and the app is amazing can check it whenever I am and also tweet on the go :-D,Neutral,tweet,Twitter
a few times later ，i cant find where’s my top bar,Neutral,top bar,Twitter
This app is the way I access Twitter most often ,Neutral,access Twitter,Twitter
"Videos wont load at all, please fix ",Neutral,Videos wont load,Twitter
FIX THE LASTEST UPDATE PLEASEEEEE,Neutral,UPDATE,Twitter
Will reinstall when fixed ,Neutral,reinstall,Twitter
even cant view my own timeline,Neutral,view my own timeline,Twitter
My fr7ends told me its better than the other social medias but when i make my first account then follow and twit it says your account is susspended    ,Neutral,make my first account,Twitter
My fr7ends told me its better than the other social medias but when i make my first account then follow and twit it says your account is susspended    ,Neutral,says your account is susspended,Twitter
Timeline keeps jumping to the top and hours of tweets get lost ,Neutral,Timeline,Twitter
Timeline keeps jumping to the top and hours of tweets get lost ,Neutral,tweets,Twitter
The list doesnt appear anymore :(,Neutral,list doesnt appear,Twitter
Pls add one function to get back backup code   I will give 5 stars,Neutral,get back backup code,Twitter
I am totally disappointed with this update trends are showing wrong side & we can not easily back on the top when we reed tweets,Neutral,reed tweets,Twitter
I am totally disappointed with this update trends are showing wrong side & we can not easily back on the top when we reed tweets,Negative,update,Twitter
"I almost liked it but when i downloaded it, i tried to open my account ",Neutral,open my account,Twitter
when i typed my account and pressed enter ,Neutral,typed my account,Twitter
It says error occurred when logging in ,Neutral,says error occurred when logging in,Twitter
I cant open my Account ,Neutral,open my Account,Twitter
"Yes this is a nice app but come on, I mean, it updates every day or two and the update is just ""bugs fixed"" Im sick and tired of that ",Negative,updates,Twitter
"Yes this is a nice app but come on, I mean, it updates every day or two and the update is just ""bugs fixed"" Im sick and tired of that ",Negative,update,Twitter
Do it at least once a week or if its a huge update ,Neutral,update,Twitter
I dont get push notifications and also cant watch some videos ,Neutral,get push notifications,Twitter
I dont get push notifications and also cant watch some videos ,Neutral,watch some videos,Twitter
Its rare if a video actually works ,Neutral,video,Twitter
Pause my music when I view a GIF ,Neutral,Pause my music,Twitter
Pause my music when I view a GIF ,Neutral,view a GIF,Twitter
"When it refreshes content, it disregards what you are doing (ie scrolling, viewing a tweet) and automatically brings you to the top without warning ",Neutral,refreshes content,Twitter
"When it refreshes content, it disregards what you are doing (ie scrolling, viewing a tweet) and automatically brings you to the top without warning ",Neutral,scrolling,Twitter
"When it refreshes content, it disregards what you are doing (ie scrolling, viewing a tweet) and automatically brings you to the top without warning ",Neutral,viewing a tweet,Twitter
Its working fine but it doesnt let me set a banner ,Neutral,set a banner,Twitter
I cant see any photos that people tweet and where did the top bar go,Neutral,see any photos that people tweet,Twitter
I cant see any photos that people tweet and where did the top bar go,Neutral,top bar,Twitter
"There is no option to switch from taking a photo to a video, why this is happen",Neutral,switch from taking a photo to a video,Twitter
"Wtf    going on, I cant see the  photos",Negative,see the  photos,Twitter
Frustrating it updates so often & only vague descriptions of what is in the updates ,Negative,updates,Twitter
Frustrating it updates so often & only vague descriptions of what is in the updates ,Negative,updates,Twitter
Thanks for the quick camera fix,Positive,quick camera,Twitter
I cant add filtets w/ my pics with the lates version using my galaxy y pls fix this!,Neutral,add filtets w/ my pics,Twitter
I like the app overall its just that sometimes notifications take a while to come through ,Neutral,notifications,Twitter
I lost the updated twitter when I logged out my account ,Neutral,updated,Twitter
I lost the updated twitter when I logged out my account ,Neutral,logged out my account,Twitter
If it can do the push notification as well on the locked phone would be really great ,Neutral,push notification,Twitter
Cant follow people without the code,Neutral,follow people,Twitter
I post some photos last night and when i browse it now i cant see it ,Neutral,post some photos,Twitter
I post some photos last night and when i browse it now i cant see it ,Neutral,browse,Twitter
"The home,discovery and activity tabs are not to be seen after update on app whats wrong",Neutral,activity tabs,Twitter
"The home,discovery and activity tabs are not to be seen after update on app whats wrong",Neutral,update,Twitter
The app is fine as long as I dont want to tweet anything ,Neutral,tweet,Twitter
It never freezes on me and keeps updated constantly ,Neutral,keeps updated,Twitter
Doesnt let me change my header or bio ,Neutral,change my header,Twitter
Just says updating profile in my notification bar forever & doesnt go away ,Neutral,says updating profile,Twitter
Just says updating profile in my notification bar forever & doesnt go away ,Neutral,notification bar,Twitter
There is this annoying bug where I cant reach some half of my tweets on my profile page ,Neutral,tweets,Twitter
There is this annoying bug where I cant reach some half of my tweets on my profile page ,Neutral,profile page,Twitter
"If someone has favorited it, though, it is completely accessible through notifications panel ",Neutral,notifications panel,Twitter
The app seems to get slower with every update ,Negative,update,Twitter
"Search takes an eternity, and just refreshing the time line takes longer than before ",Negative,Search,Twitter
"Search takes an eternity, and just refreshing the time line takes longer than before ",Negative,refreshing the time line,Twitter
Its also frustrating that you cant see all of someones tweets when you go to their profile - there are big time gaps between the tweets that do load ,Negative,see all of someones tweets,Twitter
Its also frustrating that you cant see all of someones tweets when you go to their profile - there are big time gaps between the tweets that do load ,Negative,go to their profile,Twitter
Its also frustrating that you cant see all of someones tweets when you go to their profile - there are big time gaps between the tweets that do load ,Negative,tweets that do load,Twitter
"For all the updates, its not getting better, just slowing down and offering less functionality   ",Negative,updates,Twitter
Is great but the app is slow now and takes forever to load videos or see others post by the hashtag ,Negative,load videos,Twitter
Is great but the app is slow now and takes forever to load videos or see others post by the hashtag ,Negative,see others post by the hashtag,Twitter
Also the area to start a tweet is small so sometimes I accidentally press on the tweet in front of it and it is annoying ,Negative,start a tweet,Twitter
Also the area to start a tweet is small so sometimes I accidentally press on the tweet in front of it and it is annoying ,Negative,press on the tweet,Twitter
Why Microphone acces ,Neutral,Microphone acces,Twitter
Thanks for the update,Neutral,update,Twitter
I think the Twitter app is brill I can interact with the subjects that are of interest to me and like minded people ,Positive,interact with the subjects,Twitter
I think the Twitter app is brill I can interact with the subjects that are of interest to me and like minded people ,Neutral,like minded people,Twitter
I cant see any recent tweets when I go to peoples profiles ,Neutral,see any recent tweets,Twitter
I cant see any recent tweets when I go to peoples profiles ,Neutral,go to peoples profiles,Twitter
Most things work well and I have no problem with it but I dont understand how there isnt a quick way to go to my feed ,Neutral,go to my feed,Twitter
"Also, how many times do I have to say no to if I ""liked that highlight"" before it stops showing them to me",Neutral,liked that highlight,Twitter
I just want to see tweets in order of time on my feed ,Neutral,see tweets in order of time,Twitter
Its nice to share and update ,Positive,share,Twitter
Its nice to share and update ,Positive,update,Twitter
Its a great app and all but it keeps crashing again and again    I have to uninstall and install it once again ,Neutral,uninstall,Twitter
Its a great app and all but it keeps crashing again and again    I have to uninstall and install it once again ,Neutral,install,Twitter
Why favourite button does not exist on my twitter pleasee,Neutral,favourite button,Twitter
The flow is great and your Twitter is never boring due to the activity section,Neutral,activity section,Twitter
Third party photo service ,Neutral,photo service,Twitter
